m	r	rws	N	generations	total_growth_sites	rate_sites_per_generation
1e-06	1e-06	100	50	50000	0	0.0
1e-06	1e-06	100	50	50000	0	0.0
1e-06	1e-06	100	50	50000	0	0.0
1e-06	1e-06	100	50	50000	0	0.0
1e-06	1e-06	100	50	50000	0	0.0
1e-06	1e-06	100	50	50000	12	0.00024
1e-06	1e-06	100	50	50000	0	0.0
1e-06	1e-06	100	50	50000	0	0.0
1e-06	1e-06	100	50	50000	0	0.0
1e-06	1e-06	100	50	50000	0	0.0
1e-07	1e-05	100	50	50000	0	0.0
1e-07	1e-05	100	50	50000	0	0.0
1e-07	1e-05	100	50	50000	0	0.0
1e-07	1e-05	100	50	50000	0	0.0
1e-07	1e-05	100	50	50000	0	0.0
1e-07	1e-05	100	50	50000	0	0.0
1e-07	1e-05	100	50	50000	0	0.0
1e-07	1e-05	100	50	50000	0	0.0
1e-07	1e-05	100	50	50000	0	0.0
1e-07	1e-05	100	50	50000	0	0.0
1e-07	1e-06	50	50	50000	0	0.0
1e-07	1e-06	50	50	50000	0	0.0
1e-07	1e-06	50	50	50000	0	0.0
1e-07	1e-06	50	50	50000	0	0.0
1e-07	1e-06	50	50	50000	0	0.0
1e-07	1e-06	50	50	50000	0	0.0
1e-07	1e-06	50	50	50000	0	0.0
1e-07	1e-06	50	50	50000	0	0.0
1e-07	1e-06	50	50	50000	0	0.0
1e-07	1e-06	50	50	50000	0	0.0
1e-06	1e-06	20	50	50000	0	0.0
1e-06	1e-06	20	50	50000	0	0.0
1e-06	1e-06	20	50	50000	0	0.0
1e-06	1e-06	20	50	50000	0	0.0
1e-06	1e-06	20	50	50000	0	0.0
1e-06	1e-06	20	50	50000	0	0.0
1e-06	1e-06	20	50	50000	0	0.0
1e-06	1e-06	20	50	50000	0	0.0
1e-06	1e-06	20	50	50000	0	0.0
1e-06	1e-06	20	50	50000	54	0.00108
1e-05	1e-07	100	20	9500	4109	0.432526315789
1e-05	1e-07	100	20	11500	2902	0.252347826087
1e-05	1e-07	100	20	11000	4071	0.370090909091
1e-05	1e-07	100	20	8000	2703	0.337875
1e-05	1e-07	100	20	8000	2239	0.279875
1e-05	1e-07	100	20	10500	4650	0.442857142857
1e-05	1e-07	100	20	14000	4780	0.341428571429
1e-05	1e-07	100	20	9000	2925	0.325
1e-05	1e-07	100	20	8500	4674	0.549882352941
1e-05	1e-07	100	20	8000	1800	0.225
1e-07	1e-05	100	20	50000	0	0.0
1e-07	1e-05	100	20	50000	0	0.0
1e-07	1e-05	100	20	50000	0	0.0
1e-07	1e-05	100	20	50000	0	0.0
1e-07	1e-05	100	20	50000	0	0.0
1e-07	1e-05	100	20	50000	0	0.0
1e-07	1e-05	100	20	50000	0	0.0
1e-07	1e-05	100	20	50000	0	0.0
1e-07	1e-05	100	20	50000	0	0.0
1e-07	1e-05	100	20	50000	0	0.0
1e-06	1e-06	100	20	50000	0	0.0
1e-06	1e-06	100	20	50000	0	0.0
1e-06	1e-06	100	20	50000	0	0.0
1e-06	1e-06	100	20	50000	0	0.0
1e-06	1e-06	100	20	50000	0	0.0
1e-06	1e-06	100	20	50000	64	0.00128
1e-06	1e-06	100	20	50000	0	0.0
1e-06	1e-06	100	20	50000	0	0.0
1e-06	1e-06	100	20	50000	0	0.0
1e-06	1e-06	100	20	50000	0	0.0
1e-06	1e-06	20	20	50000	0	0.0
1e-06	1e-06	20	20	50000	0	0.0
1e-06	1e-06	20	20	50000	0	0.0
1e-06	1e-06	20	20	50000	0	0.0
1e-06	1e-06	20	20	50000	0	0.0
1e-06	1e-06	20	20	50000	0	0.0
1e-06	1e-06	20	20	50000	0	0.0
1e-06	1e-06	20	20	50000	0	0.0
1e-06	1e-06	20	20	50000	15	0.0003
1e-06	1e-06	20	20	50000	0	0.0
1e-07	1e-06	50	20	50000	0	0.0
1e-07	1e-06	50	20	50000	0	0.0
1e-07	1e-06	50	20	50000	0	0.0
1e-07	1e-06	50	20	50000	0	0.0
1e-07	1e-06	50	20	50000	0	0.0
1e-07	1e-06	50	20	50000	0	0.0
1e-07	1e-06	50	20	50000	0	0.0
1e-07	1e-06	50	20	50000	0	0.0
1e-07	1e-06	50	20	50000	0	0.0
1e-07	1e-06	50	20	50000	0	0.0
1e-05	1e-07	100	50	7500	3759	0.5012
1e-05	1e-07	100	50	14500	4582	0.316
1e-05	1e-07	100	50	9500	4041	0.425368421053
1e-05	1e-07	100	50	8000	3475	0.434375
1e-05	1e-07	100	50	9000	3698	0.410888888889
1e-05	1e-07	100	50	8000	3752	0.469
1e-05	1e-07	100	50	8500	4038	0.475058823529
1e-05	1e-07	100	50	9000	4505	0.500555555556
1e-05	1e-07	100	50	8000	1944	0.243
1e-05	1e-07	100	50	9000	3997	0.444111111111
1e-07	1e-07	50	20	50000	0	0.0
1e-07	1e-07	50	20	50000	0	0.0
1e-07	1e-07	50	20	50000	0	0.0
1e-07	1e-07	50	20	50000	0	0.0
1e-07	1e-07	50	20	50000	0	0.0
1e-07	1e-07	50	20	50000	0	0.0
1e-07	1e-07	50	20	50000	0	0.0
1e-07	1e-07	50	20	50000	0	0.0
1e-07	1e-07	50	20	50000	0	0.0
1e-07	1e-07	50	20	50000	0	0.0
1e-06	1e-07	20	20	50000	0	0.0
1e-06	1e-07	20	20	50000	0	0.0
1e-06	1e-07	20	20	50000	0	0.0
1e-06	1e-07	20	20	50000	0	0.0
1e-06	1e-07	20	20	50000	0	0.0
1e-06	1e-07	20	20	50000	0	0.0
1e-06	1e-07	20	20	50000	0	0.0
1e-06	1e-07	20	20	50000	0	0.0
1e-06	1e-07	20	20	50000	0	0.0
1e-06	1e-07	20	20	50000	0	0.0
1e-07	1e-05	50	20	50000	0	0.0
1e-07	1e-05	50	20	50000	0	0.0
1e-07	1e-05	50	20	50000	0	0.0
1e-07	1e-05	50	20	50000	0	0.0
1e-07	1e-05	50	20	50000	0	0.0
1e-07	1e-05	50	20	50000	0	0.0
1e-07	1e-05	50	20	50000	0	0.0
1e-07	1e-05	50	20	50000	0	0.0
1e-07	1e-05	50	20	50000	0	0.0
1e-07	1e-05	50	20	50000	0	0.0
1e-06	1e-05	20	20	50000	0	0.0
1e-06	1e-05	20	20	50000	0	0.0
1e-06	1e-05	20	20	50000	0	0.0
1e-06	1e-05	20	20	50000	0	0.0
1e-06	1e-05	20	20	50000	0	0.0
1e-06	1e-05	20	20	50000	0	0.0
1e-06	1e-05	20	20	50000	0	0.0
1e-06	1e-05	20	20	50000	0	0.0
1e-06	1e-05	20	20	50000	0	0.0
1e-06	1e-05	20	20	50000	0	0.0
1e-06	1e-05	50	100	50000	0	0.0
1e-06	1e-05	50	100	50000	0	0.0
1e-06	1e-05	50	100	50000	0	0.0
1e-06	1e-05	50	100	50000	0	0.0
1e-06	1e-05	50	100	50000	0	0.0
1e-06	1e-05	50	100	50000	0	0.0
1e-06	1e-05	50	100	50000	0	0.0
1e-06	1e-05	50	100	50000	0	0.0
1e-06	1e-05	50	100	50000	0	0.0
1e-06	1e-05	50	100	50000	0	0.0
1e-07	1e-06	50	100	50000	0	0.0
1e-07	1e-06	50	100	50000	0	0.0
1e-07	1e-06	50	100	50000	0	0.0
1e-07	1e-06	50	100	50000	0	0.0
1e-07	1e-06	50	100	50000	0	0.0
1e-07	1e-06	50	100	50000	0	0.0
1e-07	1e-06	50	100	50000	0	0.0
1e-07	1e-06	50	100	50000	0	0.0
1e-07	1e-06	50	100	50000	0	0.0
1e-07	1e-06	50	100	50000	0	0.0
1e-06	1e-07	20	50	50000	0	0.0
1e-06	1e-07	20	50	50000	60	0.0012
1e-06	1e-07	20	50	50000	0	0.0
1e-06	1e-07	20	50	50000	0	0.0
1e-06	1e-07	20	50	50000	0	0.0
1e-06	1e-07	20	50	50000	0	0.0
1e-06	1e-07	20	50	50000	0	0.0
1e-06	1e-07	20	50	50000	0	0.0
1e-06	1e-07	20	50	50000	0	0.0
1e-06	1e-07	20	50	50000	0	0.0
1e-07	1e-07	50	50	50000	0	0.0
1e-07	1e-07	50	50	50000	0	0.0
1e-07	1e-07	50	50	50000	0	0.0
1e-07	1e-07	50	50	50000	0	0.0
1e-07	1e-07	50	50	50000	0	0.0
1e-07	1e-07	50	50	50000	0	0.0
1e-07	1e-07	50	50	50000	0	0.0
1e-07	1e-07	50	50	50000	0	0.0
1e-07	1e-07	50	50	50000	0	0.0
1e-07	1e-07	50	50	50000	0	0.0
1e-06	1e-05	20	50	50000	0	0.0
1e-06	1e-05	20	50	50000	0	0.0
1e-06	1e-05	20	50	50000	0	0.0
1e-06	1e-05	20	50	50000	0	0.0
1e-06	1e-05	20	50	50000	0	0.0
1e-06	1e-05	20	50	50000	0	0.0
1e-06	1e-05	20	50	50000	0	0.0
1e-06	1e-05	20	50	50000	0	0.0
1e-06	1e-05	20	50	50000	0	0.0
1e-06	1e-05	20	50	50000	0	0.0
1e-07	1e-05	50	50	50000	0	0.0
1e-07	1e-05	50	50	50000	0	0.0
1e-07	1e-05	50	50	50000	0	0.0
1e-07	1e-05	50	50	50000	0	0.0
1e-07	1e-05	50	50	50000	0	0.0
1e-07	1e-05	50	50	50000	0	0.0
1e-07	1e-05	50	50	50000	0	0.0
1e-07	1e-05	50	50	50000	0	0.0
1e-07	1e-05	50	50	50000	0	0.0
1e-07	1e-05	50	50	50000	0	0.0
1e-06	1e-05	20	100	50000	0	0.0
1e-06	1e-05	20	100	50000	0	0.0
1e-06	1e-05	20	100	50000	0	0.0
1e-06	1e-05	20	100	50000	0	0.0
1e-06	1e-05	20	100	50000	0	0.0
1e-06	1e-05	20	100	50000	0	0.0
1e-06	1e-05	20	100	50000	0	0.0
1e-06	1e-05	20	100	50000	0	0.0
1e-06	1e-05	20	100	50000	0	0.0
1e-06	1e-05	20	100	50000	0	0.0
1e-07	1e-06	20	100	50000	0	0.0
1e-07	1e-06	20	100	50000	0	0.0
1e-07	1e-06	20	100	50000	0	0.0
1e-07	1e-06	20	100	50000	0	0.0
1e-07	1e-06	20	100	50000	0	0.0
1e-07	1e-06	20	100	50000	0	0.0
1e-07	1e-06	20	100	50000	0	0.0
1e-07	1e-06	20	100	50000	0	0.0
1e-07	1e-06	20	100	50000	0	0.0
1e-07	1e-06	20	100	50000	0	0.0
1e-06	1e-07	50	50	50000	128	0.00256
1e-06	1e-07	50	50	50000	0	0.0
1e-06	1e-07	50	50	50000	159	0.00318
1e-06	1e-07	50	50	50000	207	0.00414
1e-06	1e-07	50	50	50000	100	0.002
1e-06	1e-07	50	50	50000	131	0.00262
1e-06	1e-07	50	50	50000	0	0.0
1e-06	1e-07	50	50	50000	233	0.00466
1e-06	1e-07	50	50	50000	0	0.0
1e-06	1e-07	50	50	50000	0	0.0
1e-07	1e-07	20	50	50000	0	0.0
